meshSize; computationTime; ioTime; zerosTime; assemblingTime; dirichletTime; gaussTime; backTime; computationTimeCPU; ioTimeCPU; zerosTimeCPU; assemblingTimeCPU; dirichletTimeCPU; gaussTimeCPU; backTimeCPU
25; 0.000056; 0.000166; 0.003960; 0.000041; 0.000004; 0.000001; 0.000007; 0.000056; 0.000034; 0.002919; 0.000041; 0.000005; 0.000001; 0.000006
33; 0.000029; 0.000071; 0.000012; 0.000014; 0.000004; 0.000001; 0.000008; 0.000029; 0.000071; 0.000013; 0.000014; 0.000004; 0.000001; 0.000008
41; 0.000035; 0.000089; 0.000006; 0.000017; 0.000005; 0.000001; 0.000010; 0.000035; 0.000088; 0.000006; 0.000017; 0.000005; 0.000001; 0.000010
75; 0.000068; 0.000160; 0.000019; 0.000031; 0.000009; 0.000001; 0.000025; 0.000068; 0.000160; 0.000019; 0.000031; 0.000009; 0.000000; 0.000025
144; 0.000163; 0.000314; 0.000054; 0.000061; 0.000017; 0.000001; 0.000081; 0.000163; 0.000314; 0.000055; 0.000061; 0.000017; 0.000001; 0.000082
544; 0.001461; 0.001022; 0.002073; 0.000256; 0.000105; 0.000001; 0.001094; 0.001462; 0.000255; 0.001601; 0.000257; 0.000106; 0.000001; 0.001096
2173; 0.017490; 0.005294; 0.013671; 0.001226; 0.000823; 0.000001; 0.015430; 0.007566; 0.001316; 0.013454; 0.001227; 0.000825; 0.000001; 0.005510
3447; 0.041995; 0.005892; 0.032876; 0.002023; 0.001581; 0.000001; 0.038375; 0.014865; 0.001471; 0.032501; 0.002010; 0.001585; 0.000000; 0.011264
6084; 0.124544; 0.014853; 0.104017; 0.003695; 0.003718; 0.000001; 0.117112; 0.038321; 0.003708; 0.101918; 0.003701; 0.003677; 0.000001; 0.030936
13693; 0.613486; 0.027240; 0.654048; 0.011628; 0.012798; 0.000001; 0.589040; 0.172294; 0.006806; 0.557425; 0.011567; 0.011888; 0.000001; 0.148832
