meshSize, computationTime, ioTime, zerosTime, assemblingTime, dirichletTime, gaussTime, backTime, computationTimeCPU, ioTimeCPU, zerosTimeCPU, assemblingTimeCPU, dirichletTimeCPU, gaussTimeCPU, backTimeCPU
25, 0.000211, 0.000128, 0.007987, 0.000076, 0.000007, 0.000112, 0.000011, 0.000210, 0.000030, 0.005196, 0.000075, 0.000007, 0.000112, 0.000011
33, 0.010793, 0.000129, 0.000093, 0.003228, 0.004270, 0.003269, 0.000008, 0.007602, 0.000032, 0.000084, 0.001905, 0.003206, 0.002478, 0.000008
41, 0.000341, 0.000100, 0.001799, 0.000101, 0.000005, 0.000223, 0.000010, 0.000342, 0.000025, 0.001351, 0.000101, 0.000005, 0.000223, 0.000010
75, 0.004328, 0.000157, 0.006785, 0.001646, 0.000011, 0.002635, 0.000031, 0.003240, 0.000039, 0.005049, 0.000929, 0.000011, 0.002265, 0.000030
144, 0.006458, 0.000392, 0.000064, 0.000370, 0.000017, 0.005988, 0.000080, 0.006461, 0.000378, 0.000064, 0.000370, 0.000017, 0.005991, 0.000080
544, 0.314808, 0.001222, 0.001662, 0.001504, 0.000105, 0.312109, 0.001083, 0.311723, 0.001192, 0.001664, 0.001505, 0.000105, 0.309024, 0.001084
2173, 19.899014, 0.005257, 0.015098, 0.006996, 0.000797, 19.875886, 0.015320, 19.296316, 0.001312, 0.013216, 0.006988, 0.000798, 19.283026, 0.005498
3447, 77.384866, 0.006568, 0.032693, 0.011129, 0.001588, 77.334441, 0.037690, 76.971988, 0.001641, 0.032585, 0.011121, 0.001593, 76.948164, 0.011104
6084, 444.807410, 0.014596, 0.100961, 0.020370, 0.003723, 444.650994, 0.132304, 427.640845, 0.003638, 0.100648, 0.020323, 0.003730, 427.581916, 0.034869
13693, 6077.422537, 0.031416, 0.534861, 0.053146, 0.013642, 6076.610622, 0.745106, 6045.418686, 0.007849, 0.510255, 0.053064, 0.013636, 6045.163729, 0.188249
