meshSize; computationTime; ioTime; zerosTime; assemblingTime; dirichletTime; gaussTime; backTime; computationTimeCPU; ioTimeCPU; zerosTimeCPU; assemblingTimeCPU; dirichletTimeCPU; gaussTimeCPU; backTimeCPU
25; 0.000251; 0.000115; 0.000172; 0.000118; 0.000008; 0.000106; 0.000011; 0.000251; 0.000027; 0.000102; 0.000118; 0.000008; 0.000106; 0.000010
33; 0.000337; 0.000179; 0.000022; 0.000159; 0.000008; 0.000153; 0.000009; 0.000338; 0.000178; 0.000023; 0.000159; 0.000008; 0.000153; 0.000009
41; 0.000457; 0.000223; 0.000010; 0.000214; 0.000008; 0.000217; 0.000011; 0.000458; 0.000222; 0.000010; 0.000214; 0.000008; 0.000217; 0.000011
75; 0.000667; 0.000256; 0.000028; 0.000263; 0.000007; 0.000380; 0.000012; 0.000667; 0.000238; 0.000029; 0.000263; 0.000007; 0.000381; 0.000012
144; 0.002096; 0.000466; 0.000054; 0.000537; 0.000011; 0.001509; 0.000033; 0.002097; 0.000466; 0.000054; 0.000538; 0.000012; 0.001510; 0.000034
544; 0.042892; 0.001822; 0.005136; 0.001536; 0.000052; 0.040987; 0.000308; 0.041843; 0.001822; 0.003249; 0.001530; 0.000053; 0.039946; 0.000309
2173; 5.747135; 0.004866; 0.013955; 0.006346; 0.000518; 5.735609; 0.004644; 5.695549; 0.001650; 0.012830; 0.006334; 0.000521; 5.685914; 0.002774
3447; 22.663545; 0.005208; 0.038074; 0.010147; 0.000919; 22.641747; 0.010710; 22.468089; 0.001300; 0.029968; 0.010119; 0.000913; 22.452720; 0.004329
6084; 125.095582; 0.009164; 0.103308; 0.018289; 0.002222; 125.043328; 0.031719; 124.096390; 0.002286; 0.088429; 0.018286; 0.002228; 124.066306; 0.009562
13693; 1412.802497; 0.021401; 0.508814; 0.043437; 0.006945; 1412.583943; 0.168148; 1398.936136; 0.005341; 0.496141; 0.043353; 0.006947; 1398.841962; 0.043866
