meshSize, computationTime, ioTime, zerosTime, assemblingTime, dirichletTime, gaussTime, backTime, computationTimeCPU, ioTimeCPU, zerosTimeCPU, assemblingTimeCPU, dirichletTimeCPU, gaussTimeCPU, backTimeCPU
25, 0.000281, 0.000133, 0.000028, 0.000065, 0.000010, 0.000195, 0.000008, 0.000282, 0.000129, 0.000029, 0.000065, 0.000010, 0.000195, 0.000008
33, 0.000521, 0.000117, 0.000021, 0.000080, 0.000012, 0.000414, 0.000012, 0.000521, 0.000117, 0.000022, 0.000079, 0.000013, 0.000415, 0.000012
41, 0.000904, 0.000147, 0.000024, 0.000105, 0.000014, 0.000765, 0.000017, 0.000905, 0.000147, 0.000023, 0.000106, 0.000015, 0.000766, 0.000017
75, 0.002610, 0.000265, 0.000076, 0.000200, 0.000035, 0.002348, 0.000024, 0.002588, 0.000265, 0.000077, 0.000200, 0.000035, 0.002327, 0.000024
144, 0.016192, 0.000264, 0.000169, 0.000205, 0.000041, 0.015842, 0.000098, 0.016165, 0.000265, 0.000170, 0.000206, 0.000042, 0.015817, 0.000098
544, 0.631911, 0.000847, 0.001806, 0.000684, 0.000217, 0.630044, 0.000962, 0.632142, 0.000842, 0.001810, 0.000684, 0.000217, 0.630275, 0.000964
2173, 40.439788, 0.003386, 0.024246, 0.003726, 0.001664, 40.419502, 0.014885, 40.433698, 0.003383, 0.024207, 0.003713, 0.001667, 40.413426, 0.014888
3447, 161.486974, 0.005353, 0.062455, 0.006075, 0.003321, 161.440131, 0.037435, 161.428757, 0.005333, 0.062386, 0.006071, 0.003327, 161.381916, 0.037439
6084, 891.438422, 0.013396, 0.187836, 0.011697, 0.007771, 891.302849, 0.116093, 890.603463, 0.013393, 0.187715, 0.011701, 0.007782, 890.467981, 0.115995
13693, 10088.817239, 0.027528, 1.443753, 0.038526, 0.026786, 10088.165646, 0.586266, 10079.857146, 0.027494, 1.335043, 0.038475, 0.026694, 10079.206121, 0.585851
