meshSize; computationTime; ioTime; zerosTime; assemblingTime; dirichletTime; gaussTime; backTime; computationTimeCPU; ioTimeCPU; zerosTimeCPU; assemblingTimeCPU; dirichletTimeCPU; gaussTimeCPU; backTimeCPU
25; 0.000760; 0.000052; 0.005953; 0.000012; 0.000036; 0.000648; 0.000062; 0.000000; 0.000000; 0.004000; 0.000000; 0.000000; 0.000000; 0.000000
33; 0.001002; 0.000060; 0.000059; 0.000017; 0.000032; 0.000925; 0.000025; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000
41; 0.001695; 0.000073; 0.000065; 0.000022; 0.000034; 0.001608; 0.000027; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000
75; 0.006286; 0.000124; 0.000087; 0.000042; 0.000041; 0.006143; 0.000056; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000
144; 0.010835; 0.000244; 0.000115; 0.000092; 0.000051; 0.010579; 0.000107; 0.007750; 0.000000; 0.000000; 0.000000; 0.000000; 0.007750; 0.000000
544; 0.210749; 0.000779; 0.001129; 0.000361; 0.000136; 0.209555; 0.000692; 0.167750; 0.000000; 0.000000; 0.000000; 0.000000; 0.167750; 0.000000
2173;11.984.707; 0.003478; 0.010397; 0.002070; 0.000538;11.971.830; 0.010260;11.715.750; 0.000000; 0.015500; 0.000000; 0.000000;11.715.750; 0.000000
3447;47.433.836; 0.005656; 0.026124; 0.003153; 0.001030;47.403.249; 0.026392;46.660.000; 0.000000; 0.031000; 0.000000; 0.000000;46.652.250; 0.007750
6084;259.699.525; 0.009942; 0.115271; 0.006971; 0.002519;259.603.595; 0.086422;254.870.500; 0.004000; 0.046750; 0.004000; 0.000000;254.843.250; 0.023250
13693;2.940.083.332; 0.022137; 0.434716; 0.021285; 0.009478;2.939.631.746; 0.420804;2.904.297.750; 0.007750; 0.359000; 0.003750; 0.008000;2.904.184.750; 0.101250
