computationTime, ioTime, zerosTime, assemblingTime, dirichletTime, sysTime
0.000045, 0.000055, 0.000006, 0.000012, 0.000002, 0.000031
0.000088, 0.000060, 0.000006, 0.000016, 0.000003, 0.000069
0.000154, 0.000071, 0.000013, 0.000021, 0.000003, 0.000130
0.001309, 0.000121, 0.000028, 0.000040, 0.000007, 0.001262
0.005344, 0.000235, 0.000105, 0.000083, 0.000018, 0.005242
0.244465, 0.000762, 0.001327, 0.000344, 0.000117, 0.244003
15.751706, 0.003088, 0.022010, 0.002138, 0.000914, 15.748653
61.831411, 0.005040, 0.056284, 0.003113, 0.001830, 61.826467
341.997920, 0.009395, 0.191225, 0.007059, 0.004835, 341.986025
3849.338317, 0.020382, 0.899052, 0.019690, 0.014547, 3849.304080
